"Year","kms Driven","Fuel Type","Suspension","Price","Car Model"
"2019","19006 kms "," Petrol "," Automatic"," 9.29 Lakh","Honda City V CVT"
"2021","11936 kms "," Petrol "," Automatic"," 13.95 Lakh","Honda City ZX CVT"
"2018","29635 kms "," Petrol "," Automatic"," 9.95 Lakh","Honda City i-VTEC CVT ZX"
"2020","16163 kms "," Petrol "," Automatic"," 13.26 Lakh","Honda City ZX CVT"
"2015","105114 kms "," Petrol "," Manual"," 5.68 Lakh","Honda City i VTEC V"
"2015","101466 kms "," Diesel "," Manual"," 5.65 Lakh","Honda City i DTEC S"
"2016","52456 kms "," Diesel "," Manual"," 5.60 Lakh","Honda Jazz 1.5 SV i DTEC"
"2014","75247 kms "," Diesel "," Manual"," 6.50 Lakh","Honda City i DTEC VX"
"2017","88695 kms "," Petrol "," Manual"," 7.48 Lakh","Honda WR-V i-VTEC VX"
"2019","30906 kms "," Petrol "," Automatic"," 7.97 Lakh","Honda Amaze V CVT Petrol "
"2021","17152 kms "," Petrol "," Automatic"," 11.98 Lakh","Honda City ZX CVT"
"2017","32721 kms "," Petrol "," Automatic"," 10.14 Lakh","Honda City i-VTEC CVT ZX"
"2020","17934 kms "," Petrol "," Automatic"," 12.46 Lakh","Honda City ZX CVT"
"2016","63548 kms "," Petrol "," Manual"," 4.68 Lakh","Honda Jazz 1.2 V i VTEC"
"2018","28200 kms "," Petrol "," Automatic"," 9.20 Lakh","Honda City ZX CVT"
"2022","5500 kms "," Petrol "," Automatic"," 15.90 Lakh","Honda City ZX CVT"
"2021","1425 kms "," Petrol "," Manual"," 13.25 Lakh","Honda City VX MT"
"2015","38411 kms "," Petrol "," Manual"," 5.89 Lakh","Honda City i VTEC VX"
"2013","25025 kms "," Petrol "," Manual"," 4.15 Lakh","Honda Amaze S i-Vtech"
"2016","23199 kms "," Petrol "," Automatic"," 6.85 Lakh","Honda Jazz 1.2 V AT i VTE"
"2017","58011 kms "," Petrol "," Manual"," 7.28 Lakh","Honda City i VTEC V"
"2020","30405 kms "," Petrol "," Manual"," 6.50 Lakh","Honda Amaze S Petrol"
"2018","33826 kms "," Petrol "," Manual"," 6.48 Lakh","Honda WR-V i-VTEC VX"
"2017","89861 kms "," Diesel "," Manual"," 7.25 Lakh","Honda WR-V i-DTEC VX"
"2015","47091 kms "," Diesel "," Manual"," 3.98 Lakh","Honda Jazz 1.5 S i DTEC"
"2017","106401 kms "," Diesel "," Manual"," 5.25 Lakh","Honda WR-V i-DTEC VX"
"2018","149091 kms "," Diesel "," Manual"," 6.20 Lakh","Honda Amaze S i-DTEC"
"2015","92028 kms "," Petrol "," Manual"," 5.78 Lakh","Honda City i VTEC V"
"2014","94146 kms "," Diesel "," Manual"," 4.56 Lakh","Honda Amaze S i-Dtech"
"2014","98243 kms "," Diesel "," Manual"," 5.62 Lakh","Honda City i DTEC V"
"2014","80090 kms "," Petrol "," Manual"," 5.80 Lakh","Honda City i VTEC VX"
"2014","112306 kms "," Diesel "," Manual"," 5.20 Lakh","Honda City i DTEC S"
"2017","49568 kms "," Petrol "," Manual"," 6.50 Lakh","Honda City i VTEC V"
"2021","5670 kms "," Petrol "," Automatic"," 12.39 Lakh","Honda City VX CVT"
"2013","58176 kms "," Petrol "," Manual"," 2.60 Lakh","Honda Brio S MT"
"2012","85367 kms "," Petrol "," Manual"," 3.28 Lakh","Honda Brio S Option MT"
"2021","5282 kms "," Petrol "," Automatic"," 15.26 Lakh","Honda City ZX CVT"
"2018","30346 kms "," Petrol "," Manual"," 4.79 Lakh","Honda Brio 1.2 S MT"
"2019","68816 kms "," Diesel "," Automatic"," 7.95 Lakh","Honda Amaze V CVT Diesel "
"2017","89969 kms "," Petrol "," Manual"," 7.55 Lakh","Honda City i VTEC V"
"2015","74481 kms "," Petrol "," Manual"," 5.75 Lakh","Honda City i VTEC V"
"2016","72926 kms "," Petrol "," Manual"," 5.10 Lakh","Honda Jazz 1.2 VX i VTEC"
"2015","29597 kms "," Petrol "," Manual"," 3.72 Lakh","Honda Brio S MT"
"2015","133745 kms "," Petrol "," Automatic"," 4.40 Lakh","Honda Amaze VX AT i-Vtech"
"2010","57825 kms "," Petrol "," Manual"," 3.60 Lakh","Honda City V MT"
"2015","85949 kms "," Diesel "," Manual"," 5.05 Lakh","Honda Amaze VX i-DTEC"
"2013","104980 kms "," Petrol "," Manual"," 3.16 Lakh","Honda Brio S MT"
"2010","141081 kms "," Petrol "," Manual"," 3.48 Lakh","Honda City V MT"
"2020","20942 kms "," Petrol "," Manual"," 12.96 Lakh","Honda City ZX MT"
"2020","12265 kms "," Petrol "," Manual"," 12.57 Lakh","Honda City ZX MT"
"2014","93298 kms "," Petrol "," Manual"," 5.65 Lakh","Honda City i VTEC SV"
"2019","21582 kms "," Petrol "," Automatic"," 7.50 Lakh","Honda Amaze V CVT Petrol "
"2010","86258 kms "," Petrol "," Manual"," 3.35 Lakh","Honda City V MT"
"2017","26536 kms "," Petrol "," Manual"," 5.20 Lakh","Honda Brio 1.2 VX MT"
"2018","81126 kms "," Diesel "," Manual"," 5.78 Lakh","Honda Amaze E i-DTEC"
"2015","76547 kms "," Petrol "," Automatic"," 7.34 Lakh","Honda City i VTEC CVT VX"
"2015","76670 kms "," Diesel "," Manual"," 4.36 Lakh","Honda City i DTEC SV"
"2013","109350 kms "," Petrol "," Manual"," 3.65 Lakh","Honda Amaze VX i-Vtech"
"2016","59796 kms "," Petrol "," Manual"," 4.80 Lakh","Honda Amaze SX i VTEC"
"2015","81506 kms "," CNG "," Manual"," 4.21 Lakh","Honda Amaze S Plus i-VTEC"
"2015","71561 kms "," Petrol "," Manual"," 3.80 Lakh","Honda Amaze S i-Vtech"
"2014","57273 kms "," Petrol "," Manual"," 5.68 Lakh","Honda City i VTEC VX"
"2014","91123 kms "," Diesel "," Manual"," 4.35 Lakh","Honda City i DTEC VX"
"2015","64967 kms "," Petrol "," Manual"," 5.80 Lakh","Honda City i VTEC VX"
"2014","91828 kms "," Diesel "," Manual"," 2.88 Lakh","Honda Amaze S i-Dtech"
"2014","79324 kms "," Diesel "," Manual"," 2.99 Lakh","Honda Amaze S i-Dtech"
"2011","71025 kms "," Petrol "," Manual"," 2.95 Lakh","Honda City S"
"2010","25952 kms "," Petrol "," Automatic"," 2.99 Lakh","Honda City V AT"
"2016","22000 kms "," Petrol "," Manual"," 8 Lakh","Honda City i VTEC V"
"2014","131004 kms "," Diesel "," Manual"," 4.79 Lakh","Honda City i DTEC VX"
"2017","22500 kms "," Petrol "," Manual"," 8.75 Lakh","Honda City 1.5 V MT Exclu"
"2018","44000 kms "," Petrol "," Automatic"," 9.40 Lakh","Honda City i-VTEC CVT VX"
"2014","188878 kms "," Diesel "," Manual"," 4.50 Lakh","Honda City i DTEC SV"
"2014","139841 kms "," Diesel "," Manual"," 3.36 Lakh","Honda City i DTEC S"
"2012","70000 kms "," Petrol "," Manual"," 3.49 Lakh","Honda City VTEC"
"2016","68000 kms "," Petrol "," Automatic"," 5.65 Lakh","Honda Jazz V CVT"
"2008","80000 kms "," Petrol "," Automatic"," 2.50 Lakh","Honda City 1.5 V AT"
"2013","48647 kms "," Diesel "," Manual"," 3.20 Lakh","Honda Amaze S i-Dtech"
"2011","78474 kms "," Petrol "," Manual"," 2.40 Lakh","Honda City 1.5 S MT"
"2016","35025 kms "," Petrol "," Manual"," 7.50 Lakh","Honda City i VTEC VX"
"2010","72464 kms "," Petrol "," Manual"," 2.50 Lakh","Honda City 1.5 V MT"
